Name	Start	Duration	Time Format	Type	Description
1	0.000	0:00.00	decimal	cue	old
2	0.088	0:00.00	decimal	cue	old
9	9.541	0:00.00	decimal	cue	old
17	27.958	0:00.00	decimal	cue	old
27	39.091	0:00.00	decimal	cue	old
30	51.340	0:00.00	decimal	cue	old
35	57.580	0:00.00	decimal	cue	old
39	1:4.018	0:00.00	decimal	cue	old
49	1:31.954	0:00.00	decimal	cue	old
57	1:36.827	0:00.00	decimal	cue	old
64	1:57.63	0:00.00	decimal	cue	old
66	2:8.416	0:00.00	decimal	cue	old
70	2:14.656	0:00.00	decimal	cue	old
78	2:31.436	0:00.00	decimal	cue	old
82	2:41.108	0:00.00	decimal	cue	old
85	2:47.745	0:00.00	decimal	cue	old
90	3:0.233	0:00.00	decimal	cue	old
93	3:10.375	0:00.00	decimal	cue	old
107	3:56.888	0:00.00	decimal	cue	old
141	4:42.943	0:00.00	decimal	cue	old
145	4:51.205	0:00.00	decimal	cue	old
153	5:5.925	0:00.00	decimal	cue	old
165	5:28.139	0:00.00	decimal	cue	old
188	6:12.382	0:00.00	decimal	cue	old
202	6:39.165	0:00.00	decimal	cue	old
209	6:55.38	0:00.00	decimal	cue	old
217	7:4.6	0:00.00	decimal	cue	old
222	7:16.095	0:00.00	decimal	cue	old
225	7:21.581	0:00.00	decimal	cue	old
231	7:34.509	0:00.00	decimal	cue	old
235	7:43.737	0:00.00	decimal	cue	old
238	7:51.308	0:00.00	decimal	cue	old
240	7:54.854	0:00.00	decimal	cue	old
242	7:58.179	0:00.00	decimal	cue	old
257	8:21.432	0:00.00	decimal	cue	old
266	8:34.922	0:00.00	decimal	cue	old
270	8:40.801	0:00.00	decimal	cue	old
285	9:5.935	0:00.00	decimal	cue	old
294	9:19.421	0:00.00	decimal	cue	old
297	9:24.078	0:00.00	decimal	cue	old
302	9:31.883	0:00.00	decimal	cue	old
306	9:38.606	0:00.00	decimal	cue	old
314	9:50.949	0:00.00	decimal	cue	old
326	10:9.825	0:00.00	decimal	cue	old
329	10:14.613	0:00.00	decimal	cue	old
332	10:24.948	0:00.00	decimal	cue	old
337	10:30.077	0:00.00	decimal	cue	old
344	10:36.235	0:00.00	decimal	cue	old
360	10:52.757	0:00.00	decimal	cue	old
376	11:7.988	0:00.00	decimal	cue	old
392	11:23.68	0:00.00	decimal	cue	old
412	11:43.311	0:00.00	decimal	cue	old
423	11:54.093	0:00.00	decimal	cue	old
434	12:3.109	0:00.00	decimal	cue	old
453	12:11.86	0:00.00	decimal	cue	old
527	13:27.344	0:00.00	decimal	cue	old
531	13:43.561	0:00.00	decimal	cue	old
569	14:15.736	0:00.00	decimal	cue	old
592	14:29.251	0:00.00	decimal	cue	old
596	14:33.637	0:00.00	decimal	cue	old
599	14:39.755	0:00.00	decimal	cue	old
605	14:57.364	0:00.00	decimal	cue	old
607	15:3.388	0:00.00	decimal	cue	old
613	15:21.163	0:00.00	decimal	cue	old
617	15:32.396	0:00.00	decimal	cue	old
621	15:45.182	0:00.00	decimal	cue	old
629	16:10.096	0:00.00	decimal	cue	old
633	16:26.054	0:00.00	decimal	cue	old
637	16:43.41	0:00.00	decimal	cue	old
646	16:55.723	0:00.00	decimal	cue	old
657	17:57.877	0:00.00	decimal	cue	old
766	20:9.345	0:00.00	decimal	cue	old
770	20:13.685	0:00.00	decimal	cue	old
775	20:19.334	0:00.00	decimal	cue	old
780	20:23.951	0:00.00	decimal	cue	old
785	20:29.502	0:00.00	decimal	cue	old
798	20:42.476	0:00.00	decimal	cue	old
807	20:51.293	0:00.00	decimal	cue	old
817	21:5.212	0:00.00	decimal	cue	old
821	21:22.289	0:00.00	decimal	cue	old
828	21:29.283	0:00.00	decimal	cue	old
835	21:37.907	0:00.00	decimal	cue	old
846	22:40.988	0:00.00	decimal	cue	old
852	22:49.136	0:00.00	decimal	cue	old
854	22:49.927	0:00.00	decimal	cue	old
858	22:52.8	0:00.00	decimal	cue	old
899	23:34.861	0:00.00	decimal	cue	old
923	23:58.788	0:00.00	decimal	cue	old
924	24:0.767	0:00.00	decimal	cue	old
939	24:12.231	0:00.00	decimal	cue	old
943	24:15.705	0:00.00	decimal	cue	old
944	24:18.616	0:00.00	decimal	cue	old
945	24:19.616	0:00.00	decimal	cue	old
946	24:20.616	0:00.00	decimal	cue	old
947	24:21.616	0:00.00	decimal	cue	old
948	24:22.616	0:00.00	decimal	cue	old